,枠番,年齢,体重,平均ST,全国-勝率,全国-2連率,全国-3連率,当地-勝率,当地-2連率,当地-3連率,モーター-2連率,モーター-3連率,単勝オッズ,レーサーid,着順
4,5,44,52.0,0.14,6.95,46.59,65.91,6.8,30.0,50.0,32.0,48.0,20.3,3874,6
5,6,31,47.0,0.14,7.26,56.25,69.64,6.68,50.0,75.0,33.33,66.67,13.5,4044,3
0,1,28,52.0,0.17,7.01,57.66,75.91,5.74,42.11,52.63,35.76,58.79,1.4,4934,1
1,2,23,52.0,0.14,6.53,50.47,65.42,4.83,28.57,40.0,29.01,43.21,5.4,5112,5
2,3,29,52.0,0.1,6.57,50.0,64.77,5.8,50.0,60.0,47.25,62.09,3.6,4963,4
3,4,29,54.1,0.15,6.97,56.03,73.28,0.0,0.0,0.0,34.13,46.15,12.1,5136,6
4,5,26,52.0,0.18,5.87,41.94,60.22,4.78,33.33,33.33,35.75,56.98,13.3,5141,2
5,6,23,52.0,0.16,6.52,47.86,67.52,6.2,50.0,50.0,34.17,51.76,25.4,4850,3
0,1,34,51.5,0.12,7.33,51.16,75.97,0.0,0.0,0.0,30.08,44.36,1.7,4933,4
1,2,38,52.0,0.13,6.76,46.22,56.3,0.0,0.0,0.0,33.83,45.11,5.9,3941,2
2,3,35,47.0,0.16,7.2,53.28,74.59,7.08,61.11,80.56,44.94,63.92,4.0,3541,1
3,4,47,53.3,0.14,7.89,61.9,71.43,0.0,0.0,0.0,27.81,44.37,5.9,4468,3
4,5,30,52.0,0.14,7.78,51.85,67.9,7.54,61.54,69.23,45.26,59.12,7.4,4445,5
5,6,46,54.1,0.15,6.78,46.79,66.97,6.16,21.05,68.42,28.77,45.21,20.2,4504,6
0,1,28,52.0,0.16,7.29,60.14,78.99,6.25,50.0,62.5,29.41,47.06,1.6,4237,1
1,2,50,51.0,0.14,8.03,72.27,80.67,6.38,41.38,51.72,60.0,76.67,4.5,3854,4
2,3,49,52.7,0.12,7.01,49.41,65.88,0.0,0.0,0.0,28.13,53.13,5.0,4294,5
3,4,41,52.1,0.13,7.88,66.94,80.17,0.0,0.0,0.0,42.86,64.29,7.5,4831,3
4,5,46,52.0,0.13,8.09,59.54,74.81,7.88,41.18,76.47,45.16,61.29,7.8,4939,2
5,6,38,52.1,0.14,7.2,55.38,71.54,7.0,62.5,75.0,34.88,60.47,17.2,4908,6
0,1,41,52.0,0.09,6.45,47.67,58.14,5.46,42.31,46.15,20.51,40.38,1.0,4872,1
1,2,42,52.6,0.15,5.67,40.0,57.39,6.19,44.16,64.94,37.42,54.84,9.6,4778,4
2,3,30,53.7,0.14,5.67,33.33,51.59,6.82,47.06,58.82,28.97,44.83,6.4,4430,2
3,4,37,52.0,0.13,5.22,33.6,48.8,5.33,31.58,51.13,37.89,56.52,13.7,4364,6
4,5,40,58.2,0.18,4.46,24.18,40.66,3.78,16.67,33.33,25.49,38.56,96.0,4159,3
5,6,38,52.0,0.17,5.65,36.0,52.0,5.71,30.77,55.13,47.74,67.1,13.7,3888,5
0,1,38,52.0,0.13,6.46,45.24,66.67,7.23,52.27,75.0,31.25,46.09,1.7,3966,4
1,2,44,54.1,0.17,6.07,38.02,60.33,6.71,53.85,67.95,30.47,46.09,11.4,4546,3
2,3,44,52.0,0.18,7.37,58.21,70.15,6.67,33.33,66.67,33.07,52.76,4.4,3641,2
3,4,35,52.0,0.14,7.25,46.53,70.3,7.71,60.0,80.0,37.6,60.8,4.9,4759,5
4,5,45,52.0,0.13,6.5,47.2,64.0,6.83,50.0,73.33,34.33,55.97,8.1,5042,1
5,6,35,51.5,0.14,6.65,37.14,61.9,8.36,70.45,90.91,29.17,44.17,8.1,4851,6
0,1,36,52.0,0.18,4.91,23.96,47.92,5.16,30.16,50.79,57.14,71.43,5.6,4457,4
1,2,42,53.1,0.13,6.34,46.07,65.17,5.3,20.0,60.0,38.46,53.85,2.0,4025,6
2,3,59,51.5,0.15,6.15,48.11,60.38,5.64,36.36,63.64,37.5,50.0,4.6,4077,5
3,4,45,51.0,0.18,4.58,27.68,41.07,4.64,28.38,47.3,28.57,57.14,22.5,3226,1
4,5,53,52.0,0.14,5.54,31.03,55.17,5.75,34.48,59.48,85.71,85.71,4.8,4063,3
5,6,28,52.0,0.14,6.55,45.45,61.82,7.85,55.0,70.0,28.57,100.0,4.8,4572,2
0,1,58,51.5,0.2,2.9,9.76,19.51,3.8,22.45,30.61,38.83,53.4,5.4,4569,1
1,2,35,47.0,0.16,5.37,40.51,53.16,5.8,40.0,70.0,39.13,58.7,1.8,4744,2
2,3,36,47.1,0.19,5.37,40.71,52.21,5.02,32.31,52.31,35.27,55.07,4.7,4961,4
3,4,52,44.5,0.17,4.45,25.3,36.14,3.84,24.0,30.0,32.0,50.29,4.6,4501,3
4,5,21,57.3,0.23,1.37,0.0,0.0,0.0,0.0,0.0,32.57,50.29,40.7,4924,5
5,6,57,47.0,0.14,5.68,38.64,54.55,5.66,37.5,53.13,34.98,54.19,6.7,5320,6
0,1,46,52.0,0.12,8.14,62.39,80.73,8.89,80.56,94.44,29.17,37.5,1.2,4932,1
1,2,40,53.3,0.13,7.0,49.06,66.98,5.78,33.33,33.33,54.55,72.73,7.4,4337,4
2,3,48,52.1,0.12,8.1,72.9,82.24,7.45,68.97,86.21,29.17,45.83,8.6,4500,2
3,4,38,52.0,0.12,7.2,55.46,65.55,0.0,0.0,0.0,29.03,38.71,7.0,3415,3
4,5,32,52.6,0.14,7.12,54.63,69.44,0.0,0.0,0.0,50.0,66.67,12.1,3960,5
5,6,31,47.0,0.13,6.64,46.81,63.83,7.3,54.55,69.7,41.67,58.33,30.7,3716,6
0,1,38,47.0,0.16,5.17,31.4,50.0,0.0,0.0,0.0,33.73,49.4,1.3,4963,1
1,2,51,48.4,0.17,5.32,35.48,49.46,5.14,35.71,42.86,31.17,44.16,5.4,3518,4
2,3,28,44.5,,3.72,10.64,31.91,0.0,0.0,0.0,35.71,54.76,20.1,4225,2
3,4,22,46.5,0.2,3.02,10.31,18.56,0.0,0.0,0.0,45.56,60.0,8.5,4984,3
4,5,22,46.0,0.18,5.73,41.12,57.01,5.15,34.33,50.75,43.42,59.21,4.3,5200,5
5,6,23,48.7,0.21,1.7,1.59,1.59,0.0,0.0,0.0,28.75,46.25,85.5,5324,6
0,1,31,52.0,0.15,6.73,48.67,66.37,5.76,33.33,48.48,44.74,56.14,1.3,4497,2
1,2,46,52.0,0.14,6.74,42.2,59.63,6.92,45.86,71.97,33.03,50.46,4.2,3941,1
2,3,41,52.0,0.12,6.78,50.0,67.5,7.0,40.0,60.0,31.58,44.21,6.2,4828,4
3,4,49,52.8,0.13,6.4,39.6,51.49,8.23,72.73,77.27,34.55,54.55,11.6,4061,3
4,5,48,51.0,0.15,6.88,46.9,64.6,6.0,21.43,35.71,28.13,42.71,16.2,4342,6
5,6,37,52.0,0.13,6.99,54.4,66.4,5.44,37.5,50.0,33.01,51.46,19.4,3780,5
0,1,47,52.0,0.13,7.25,50.91,67.27,7.41,61.02,79.66,29.55,47.73,2.4,4547,3
1,2,37,50.5,0.15,6.37,42.74,64.1,6.58,48.36,67.21,39.74,58.95,10.2,4308,4
2,3,42,52.0,0.13,7.14,55.79,67.37,6.55,40.48,64.29,35.77,55.77,8.6,4174,6
3,4,36,52.2,0.14,7.23,46.94,68.37,7.17,48.28,62.07,47.95,65.3,6.6,3854,1
4,5,49,53.2,0.13,6.85,51.54,63.85,7.61,61.36,70.45,32.39,49.39,15.8,4075,5
5,6,39,52.9,0.15,7.1,50.5,62.38,8.26,67.74,70.97,60.27,74.43,2.0,3721,2
0,1,35,51.5,0.18,5.43,36.45,57.01,5.47,35.29,58.82,36.22,51.97,2.4,4734,1
1,2,43,56.0,0.19,6.35,42.28,65.85,6.5,50.0,63.64,29.85,50.0,7.5,3556,5
2,3,25,53.2,0.18,6.38,46.49,63.16,5.0,28.57,53.57,33.83,43.61,3.7,3300,3
3,4,34,51.5,0.16,6.88,51.59,74.6,7.04,56.0,72.0,39.1,60.15,2.8,3744,4
4,5,52,52.4,0.18,6.86,53.03,68.18,6.66,44.74,71.05,38.52,50.82,10.3,4379,6
5,6,39,52.0,0.13,7.31,54.92,72.13,6.76,50.0,71.74,34.4,55.2,13.8,4700,2
0,1,40,45.0,0.14,5.63,35.9,52.56,6.8,50.0,70.0,34.32,53.25,1.3,4240,1
1,2,45,47.0,0.21,5.71,37.97,54.43,5.91,36.36,63.64,34.48,50.57,6.0,5156,3
2,3,38,47.0,0.13,6.11,48.36,58.2,5.38,37.5,46.88,30.06,49.69,4.3,3207,5
3,4,59,51.8,0.19,4.48,22.54,39.44,0.0,0.0,0.0,27.44,43.9,14.1,4050,2
4,5,45,46.5,0.17,5.34,31.33,51.81,5.26,29.03,48.39,39.18,63.16,18.0,5203,6
5,6,37,45.0,0.15,5.91,42.31,61.54,5.97,44.44,58.33,38.46,59.17,18.0,5019,4
0,1,24,49.5,0.16,5.15,33.88,50.41,0.0,0.0,0.0,22.22,33.33,2.2,3224,6
1,2,31,51.5,0.17,5.36,36.36,49.59,5.06,38.71,45.16,12.5,25.0,5.5,4538,1
2,3,46,52.3,0.17,6.25,46.43,64.29,6.34,32.76,63.79,42.86,66.67,4.2,4706,4
3,4,35,52.0,0.14,7.02,50.0,65.45,0.0,0.0,0.0,54.55,72.73,2.9,4193,5
4,5,51,52.2,0.16,5.86,44.66,61.17,6.1,45.0,60.71,45.45,54.55,17.3,4061,2
5,6,41,52.1,0.13,5.44,33.33,54.29,4.59,20.69,41.38,11.11,33.33,15.4,4954,3
0,1,51,53.4,0.14,6.67,48.08,64.42,6.46,45.05,63.74,28.57,42.86,1.5,4044,3
1,2,48,53.9,0.15,6.99,53.38,66.92,6.25,25.0,37.5,33.33,52.27,5.1,4497,6
2,3,38,52.0,0.16,6.67,47.9,68.07,6.72,44.44,77.78,35.11,53.44,6.9,4504,4
3,4,52,50.5,0.14,7.19,43.97,65.52,7.0,48.0,64.0,31.11,53.33,6.0,4013,2
4,5,36,52.0,0.13,7.25,46.36,63.64,7.75,56.25,68.75,33.06,45.97,6.9,4848,5
5,6,46,52.2,0.15,6.77,49.54,65.14,6.58,43.64,61.82,31.2,48.8,31.2,4760,1
0,1,30,52.0,0.14,7.21,49.57,67.52,6.75,37.5,62.5,30.67,53.37,1.1,4361,3
1,2,42,53.8,0.12,7.61,56.14,72.81,6.93,50.0,57.5,32.05,45.51,8.4,3946,4
2,3,50,52.2,0.13,6.06,36.0,48.0,7.06,41.18,64.71,33.33,51.57,9.8,4324,5
3,4,34,51.5,0.13,6.79,41.76,54.95,6.8,50.0,59.09,35.63,55.63,7.1,3779,1
4,5,46,52.2,0.15,6.9,43.56,61.39,7.31,45.71,68.57,34.19,50.32,15.4,4856,6
5,6,48,52.0,0.14,7.36,46.79,64.22,7.64,57.78,68.89,36.62,53.52,16.3,4524,2
0,1,33,46.5,0.2,5.32,30.85,48.94,5.73,38.46,50.0,33.12,44.81,1.1,4791,1
1,2,23,47.4,0.2,2.1,0.0,3.45,1.88,0.0,12.5,24.5,41.72,16.8,4450,3
2,3,34,47.0,0.19,5.3,36.19,51.43,5.68,39.29,57.14,19.61,37.91,4.6,3334,5
3,4,50,46.5,0.22,3.61,10.71,32.14,2.29,0.0,14.29,45.73,61.59,17.9,4243,2
4,5,31,47.0,0.19,3.47,9.72,25.0,0.0,0.0,0.0,40.49,60.74,10.6,5283,6
5,6,20,47.3,0.17,2.76,10.17,15.25,0.0,0.0,0.0,32.08,48.43,22.0,3604,4
0,1,41,52.4,0.12,6.83,42.52,62.2,7.89,72.22,88.89,32.86,48.36,1.2,4604,5
1,2,35,52.0,0.12,7.44,48.84,69.77,6.0,29.63,33.33,29.95,55.33,6.6,4168,3
2,3,49,51.0,0.15,7.06,54.62,68.07,7.12,57.69,73.08,31.28,51.28,10.8,4445,1
3,4,27,52.0,0.13,6.82,50.42,63.03,6.17,50.0,75.0,24.88,42.79,6.2,3978,4
4,5,33,52.0,0.14,6.8,46.88,68.75,6.82,53.23,70.16,36.49,54.03,14.5,4002,2
5,6,45,52.0,0.12,8.21,62.5,77.5,8.53,70.59,76.47,31.84,45.77,11.6,3744,6
0,1,45,52.0,0.12,6.76,47.95,65.75,5.9,40.0,60.0,29.41,41.18,2.3,4350,1
1,2,26,52.0,0.14,7.8,59.6,72.73,5.87,40.0,60.0,36.84,52.63,11.8,3556,5
2,3,39,52.0,0.11,8.1,61.29,76.34,0.0,0.0,0.0,47.06,55.88,1.7,3716,3
3,4,33,51.5,0.13,7.42,56.0,72.0,7.78,64.44,82.22,29.73,43.24,7.6,4685,6
4,5,48,52.0,0.15,7.41,56.36,71.82,8.06,50.0,66.67,41.03,51.28,21.7,4497,2
5,6,36,53.3,0.12,7.61,53.21,75.23,7.64,55.56,72.22,32.61,56.52,18.7,4296,4
0,1,46,52.0,0.15,7.27,47.96,63.27,7.13,25.0,62.5,33.33,33.33,1.4,3743,2
1,2,55,46.0,0.17,6.66,50.37,66.67,6.38,25.0,50.0,42.86,57.14,9.5,3849,6
2,3,49,52.0,0.14,7.15,54.1,80.33,7.06,54.5,74.5,30.0,50.0,6.6,3256,3
3,4,46,52.0,0.15,7.24,56.7,77.32,6.33,47.62,57.14,52.94,58.82,4.0,3737,4
4,5,47,45.5,0.19,5.7,35.71,54.76,7.0,54.55,63.64,57.14,85.71,18.2,3556,1
5,6,46,52.0,0.13,6.39,46.21,60.0,0.0,0.0,0.0,18.75,43.75,14.8,4036,5
0,1,40,52.8,0.13,6.89,42.86,59.05,8.38,37.5,62.5,45.57,60.76,1.2,3908,4
1,2,29,52.0,0.13,6.97,48.39,65.59,0.0,0.0,0.0,40.41,54.11,5.4,4505,6
2,3,52,51.0,0.14,7.12,39.82,63.72,8.0,56.25,75.0,33.33,50.98,6.2,4261,1
3,4,36,52.0,0.16,7.46,61.62,78.79,8.4,77.5,90.0,31.21,45.22,10.4,3942,2
4,5,36,56.7,0.14,7.36,58.46,78.46,6.65,51.61,64.52,33.56,46.58,20.1,5121,5
5,6,36,52.0,0.13,7.03,52.1,67.23,6.81,52.38,61.9,41.06,55.63,16.3,4960,3
0,1,40,52.0,0.16,6.13,46.6,61.17,6.23,46.15,61.54,44.44,62.7,1.6,4632,1
1,2,39,50.5,0.14,5.64,38.53,57.8,0.0,0.0,0.0,41.43,58.57,4.7,4174,3
2,3,43,52.2,0.17,4.91,30.77,45.19,5.11,33.0,48.0,39.83,56.78,11.0,4520,6
3,4,52,52.2,0.13,6.07,44.55,54.46,5.27,30.77,46.15,32.61,52.17,7.8,3792,4
4,5,38,52.0,0.16,5.64,37.78,54.44,5.55,36.36,54.55,38.17,52.67,30.1,4331,2
5,6,48,53.9,0.14,7.07,54.87,69.03,7.89,55.56,77.78,45.97,62.1,3.6,4782,5
0,1,52,47.6,0.14,5.42,36.84,47.37,5.95,38.98,52.54,35.14,48.65,1.5,3802,2
1,2,52,47.8,0.14,4.92,30.0,46.67,4.95,26.32,47.37,37.21,44.19,11.6,3618,4
2,3,42,52.6,0.21,4.02,19.51,36.59,4.32,24.0,44.0,32.5,55.0,12.1,3674,6
3,4,22,46.5,0.2,3.81,11.34,28.87,0.0,0.0,0.0,37.78,57.78,5.0,5173,1
4,5,39,46.0,0.16,6.32,43.96,61.54,6.71,47.83,69.57,36.96,56.52,4.2,5335,3
5,6,49,44.5,0.17,4.07,21.05,31.58,5.71,39.29,57.14,64.86,72.97,12.7,4744,5
0,1,44,44.0,0.18,5.68,38.14,57.73,6.2,48.91,61.96,31.25,50.0,1.6,5203,2
1,2,33,49.8,0.19,4.68,20.27,40.54,5.24,33.33,47.62,34.69,42.86,14.0,4884,5
2,3,29,45.0,,3.2,8.0,20.0,3.91,18.52,27.78,44.19,58.14,7.0,4998,4
3,4,33,52.9,0.12,5.62,45.24,57.14,3.85,19.23,34.62,24.0,44.0,3.8,5265,6
4,5,34,47.0,0.16,7.44,62.67,78.67,7.7,50.0,100.0,31.25,43.75,5.0,3900,1
5,6,35,47.0,0.18,4.41,21.33,42.67,5.79,34.43,67.21,54.17,60.42,25.0,4853,3
0,1,41,52.1,0.14,6.31,39.78,63.44,6.9,55.0,70.0,29.07,54.65,1.2,4030,1
1,2,34,51.0,0.13,6.61,46.67,60.0,6.69,50.0,69.0,29.9,43.3,9.2,4537,3
2,3,34,52.0,0.12,6.88,50.0,75.0,7.13,51.4,77.57,46.15,62.82,7.4,3854,2
3,4,54,51.5,0.16,7.35,44.74,67.54,6.5,27.78,44.44,36.67,51.11,9.2,4362,4
4,5,37,51.5,0.13,7.29,55.36,66.07,7.42,45.45,69.7,36.17,45.74,8.2,4713,6
5,6,24,52.0,0.14,6.57,49.59,65.29,5.11,33.33,55.56,32.93,58.54,21.2,4444,5
0,1,25,52.0,0.14,6.05,43.9,58.54,5.78,44.44,55.56,39.35,50.97,1.3,4600,3
1,2,43,51.0,0.17,5.64,33.03,52.29,6.38,44.68,63.83,32.9,47.74,10.3,4172,1
2,3,51,50.0,0.17,6.54,44.34,66.98,6.51,45.35,67.44,31.48,48.15,6.6,4148,4
3,4,35,52.0,0.15,7.13,49.04,65.38,7.18,52.63,73.68,27.52,41.61,6.6,3822,6
4,5,36,46.5,0.17,6.35,47.92,65.63,6.22,52.17,69.57,31.41,51.92,9.1,4688,2
5,6,38,52.0,0.16,6.11,49.06,65.09,4.53,27.5,37.5,36.77,50.97,11.0,4817,5
0,1,33,48.7,0.18,5.77,38.38,64.65,5.11,32.14,53.57,38.13,50.0,2.4,4627,1
1,2,38,47.2,0.13,5.96,43.7,54.07,5.5,30.0,50.0,31.78,45.74,3.2,4878,5
2,3,29,47.0,0.16,6.27,47.25,64.84,0.0,0.0,0.0,30.82,46.54,7.1,4289,2
3,4,36,47.1,0.16,7.63,58.02,78.63,7.0,56.25,75.0,29.49,42.95,4.5,4909,4
4,5,28,44.5,0.16,5.67,34.31,52.94,0.0,0.0,0.0,40.99,59.01,5.7,4190,3
5,6,19,45.0,0.16,3.7,19.28,31.33,4.17,26.09,43.48,34.0,45.33,11.5,4313,6
0,1,33,46.5,0.17,6.16,43.93,64.49,4.0,17.65,29.41,38.2,57.3,1.3,4117,6
1,2,24,47.7,0.22,4.5,19.74,36.84,4.15,23.08,46.15,42.7,53.93,6.8,4963,2
2,3,42,48.4,0.18,5.05,33.33,48.39,4.17,16.67,33.33,29.7,42.57,17.7,3579,4
3,4,39,48.5,0.15,5.11,30.99,53.52,5.8,40.0,40.0,34.74,46.32,8.0,5140,3
4,5,19,47.0,,1.43,0.0,0.0,1.0,0.0,0.0,29.29,46.46,71.1,5277,1
5,6,43,46.5,0.16,7.24,59.78,69.57,7.18,55.0,67.5,29.9,49.48,3.8,4720,5
0,1,38,47.1,0.13,6.05,48.12,57.89,6.79,55.17,65.52,32.39,48.59,1.1,4459,1
1,2,41,47.0,0.17,7.62,60.47,78.29,0.0,0.0,0.0,27.89,48.3,3.1,3959,2
2,3,43,48.5,0.15,6.45,44.88,66.14,8.33,88.89,88.89,29.53,44.3,16.8,4502,3
3,4,38,47.2,0.12,6.87,53.0,71.0,6.03,40.63,68.75,29.93,51.7,24.2,3415,5
4,5,33,47.0,0.14,6.05,43.4,59.43,0.0,0.0,0.0,30.28,44.37,45.7,4787,6
5,6,40,47.0,0.17,5.95,37.24,63.45,5.74,47.37,47.37,30.71,47.86,35.3,4350,4
0,1,37,53.2,0.12,7.46,50.45,68.47,6.8,42.5,65.0,26.25,42.5,1.3,4524,1
1,2,49,53.0,0.13,6.79,50.41,61.16,0.0,0.0,0.0,26.67,42.67,4.4,4856,6
2,3,38,52.0,0.16,6.98,51.04,75.0,0.0,0.0,0.0,45.31,60.94,9.4,4831,3
3,4,36,52.6,0.13,7.01,53.91,73.44,7.68,65.19,80.74,31.43,42.86,6.3,5136,5
4,5,42,51.5,0.16,5.57,38.1,60.32,5.66,39.33,55.06,35.14,45.95,31.0,4762,4
5,6,37,52.1,0.13,7.49,52.99,69.23,7.93,53.73,77.61,38.16,55.26,12.6,4851,2
0,1,51,48.2,0.17,4.55,23.86,40.91,6.8,55.0,70.0,33.33,50.0,1.5,4300,1
1,2,29,44.5,,4.28,20.37,36.11,4.72,22.22,50.0,32.81,53.13,6.1,3551,2
2,3,52,44.5,0.17,3.85,15.85,30.49,0.0,0.0,0.0,34.21,59.21,6.1,4733,4
3,4,48,47.0,0.22,4.07,20.93,37.21,0.0,0.0,0.0,40.0,54.55,22.8,3845,3
4,5,44,45.5,0.18,5.48,37.61,48.72,0.0,0.0,0.0,48.39,53.23,7.9,3188,5
5,6,31,47.7,0.13,6.83,48.91,63.04,6.57,45.1,68.63,30.23,45.35,5.1,4853,6
0,1,27,46.0,0.15,6.78,51.22,69.51,4.83,33.33,44.44,38.3,54.26,1.2,4372,1
1,2,33,48.3,0.16,5.92,45.76,61.02,4.92,30.77,53.85,40.18,53.57,2.8,4347,2
2,3,37,48.8,0.2,5.22,27.62,50.48,5.56,40.0,56.0,28.41,53.41,18.6,3232,3
3,4,38,46.5,0.13,6.08,48.51,58.96,6.85,60.61,69.7,29.81,50.0,13.8,4501,4
4,5,62,46.0,0.17,5.82,41.61,58.39,5.96,48.15,58.02,33.86,55.91,20.3,4819,5
5,6,32,47.0,0.14,6.14,44.72,60.16,5.55,36.36,54.55,41.57,59.55,32.6,3618,6
0,1,50,54.8,0.17,5.21,30.63,49.55,5.08,32.0,44.0,39.26,55.56,1.7,4396,2
1,2,31,52.0,0.14,5.65,39.78,60.22,5.11,37.14,45.71,42.11,56.14,5.0,3977,6
2,3,35,51.5,0.18,5.02,23.53,43.53,5.17,30.19,52.83,25.0,44.64,11.5,4269,1
3,4,34,53.8,0.15,6.61,50.0,70.0,8.32,75.0,92.86,33.61,55.74,4.7,4003,3
4,5,28,51.5,0.16,7.17,55.36,74.11,6.89,44.44,66.67,34.67,48.0,4.0,3024,5
5,6,35,52.0,0.16,5.59,40.54,54.05,6.02,47.73,61.36,29.45,46.01,40.5,4632,4
0,1,51,52.5,0.14,7.01,49.26,65.44,6.7,50.0,80.0,28.68,44.96,1.2,4524,1
1,2,49,52.0,0.13,6.92,46.61,65.25,5.82,23.53,41.18,38.26,56.38,6.4,4586,6
2,3,49,50.0,0.15,6.88,52.94,66.39,7.67,59.09,78.79,33.55,50.66,12.7,3556,2
3,4,47,54.0,0.14,7.69,61.67,76.67,6.83,25.0,50.0,31.43,45.71,13.7,4500,3
4,5,28,52.0,0.13,7.74,62.5,78.41,7.18,55.0,75.0,32.64,45.14,7.4,4848,4
5,6,34,46.5,0.15,7.02,50.0,64.29,6.35,32.35,52.94,38.85,55.4,14.9,3623,5
0,1,35,52.0,0.15,7.1,47.86,65.81,8.25,37.5,62.5,32.14,64.29,1.4,3942,1
1,2,46,51.5,0.13,7.29,53.97,73.81,7.24,51.35,72.97,24.0,40.0,8.0,4371,2
2,3,42,52.2,0.12,6.92,51.75,67.83,7.29,61.9,76.19,42.31,69.23,3.1,4686,6
3,4,48,51.5,0.15,7.02,47.93,66.94,6.88,44.0,48.0,55.0,80.0,9.6,4028,4
4,5,45,53.2,0.15,7.01,44.54,62.18,7.13,42.11,60.53,30.43,47.83,28.1,4494,3
5,6,46,52.0,0.13,8.11,58.41,79.65,7.28,37.93,55.17,38.46,53.85,18.5,3780,5
0,1,28,51.5,0.15,7.18,57.05,77.18,8.44,83.33,88.89,37.75,58.28,1.2,5043,5
1,2,28,45.0,0.14,5.48,36.56,52.69,4.0,12.5,25.0,39.74,53.21,7.9,5026,2
2,3,28,52.8,0.14,5.57,34.51,57.52,7.67,66.67,83.33,29.32,46.62,8.8,5005,6
3,4,27,52.0,0.19,6.06,39.39,65.91,0.0,0.0,0.0,37.57,54.34,9.8,4985,1
4,5,27,52.0,0.11,5.78,39.17,60.0,6.69,54.29,71.43,30.57,43.31,8.8,4989,4
5,6,24,52.2,0.11,6.37,45.28,62.26,0.0,0.0,0.0,36.53,53.29,9.2,4877,3
0,1,28,52.0,0.13,6.64,46.88,60.94,6.44,33.33,66.67,30.08,51.13,2.2,3908,1
1,2,37,54.1,0.12,6.75,43.44,59.02,5.96,41.67,54.17,29.8,50.99,3.9,4418,3
2,3,33,51.5,0.13,6.97,43.22,61.86,5.81,33.33,51.85,35.85,49.06,4.5,4362,2
3,4,55,52.0,0.14,7.02,56.31,69.9,6.73,45.45,72.73,29.37,42.66,5.1,4544,6
4,5,41,52.1,0.14,7.04,46.67,61.11,5.0,15.38,38.46,28.91,45.31,6.6,4013,4
5,6,42,49.0,0.14,6.17,36.63,52.48,0.0,0.0,0.0,36.36,53.25,14.3,4344,5
0,1,48,52.8,0.14,6.86,48.33,65.83,7.13,49.36,71.79,40.48,59.52,1.1,4352,6
1,2,48,52.0,0.14,7.19,48.42,64.21,5.78,33.33,44.44,26.47,44.12,5.0,4050,2
2,3,26,51.0,0.13,6.58,44.55,60.4,8.4,60.0,86.67,24.14,31.03,17.6,4566,4
3,4,36,52.6,0.13,7.23,57.35,74.26,3.0,0.0,0.0,41.67,61.11,17.2,4847,5
4,5,43,46.5,0.16,7.45,63.11,72.82,5.25,25.0,50.0,28.57,32.14,37.1,4444,1
5,6,31,52.1,0.14,6.45,52.38,63.1,6.89,54.29,74.29,27.27,45.45,7.4,4500,3
0,1,31,53.1,0.14,5.75,41.07,57.14,5.89,44.44,66.67,33.56,53.69,1.0,4161,2
1,2,34,51.5,0.13,6.17,42.52,64.57,5.2,29.55,47.73,30.41,40.54,11.2,3874,1
2,3,22,52.0,0.19,3.53,15.38,26.92,3.69,18.75,31.25,27.45,45.1,25.8,4704,6
3,4,27,51.5,0.16,4.54,32.38,40.0,4.93,36.59,46.34,29.66,44.14,18.6,4330,5
4,5,48,52.0,0.14,5.79,36.27,57.84,6.15,41.89,68.92,39.74,58.28,7.4,4095,3
5,6,36,52.4,0.16,5.35,31.78,51.4,5.62,38.46,50.0,30.46,51.66,33.6,4438,4
0,1,40,52.0,0.16,7.05,51.35,67.57,5.91,39.13,52.17,36.57,58.21,1.0,3303,1
1,2,50,52.0,0.14,6.5,44.12,67.65,7.86,57.14,71.43,52.21,66.18,7.7,3983,3
2,3,49,52.2,0.13,6.56,41.12,62.62,6.95,45.24,61.9,29.75,48.76,8.9,3613,2
3,4,36,48.9,0.15,5.02,35.71,51.19,5.76,44.87,56.41,40.94,52.76,28.6,4738,4
4,5,42,46.0,0.19,6.35,43.3,68.04,6.74,49.12,73.68,33.08,48.87,16.8,3716,5
5,6,23,52.0,0.11,6.01,42.59,57.41,4.89,33.33,33.33,30.47,44.53,13.6,4188,6
0,1,44,54.3,0.14,4.56,25.4,44.44,5.54,48.0,48.0,28.57,71.43,1.0,4863,2
1,2,36,52.5,0.15,5.22,36.21,48.28,3.8,10.0,30.0,35.71,42.86,29.5,3499,5
2,3,24,52.0,0.15,5.8,36.59,57.32,0.0,0.0,0.0,57.14,85.71,19.3,4932,1
3,4,26,53.7,0.14,6.59,50.0,67.95,4.81,31.25,50.0,14.29,28.57,7.0,4150,3
4,5,35,52.3,0.16,4.82,21.98,48.35,4.8,21.74,43.48,0.0,0.0,71.7,3105,4
5,6,35,54.8,0.17,4.61,24.07,37.04,4.33,23.33,43.33,16.67,83.33,100.5,4182,6
0,1,38,48.3,0.16,5.87,44.44,65.08,0.0,0.0,0.0,35.48,51.08,1.8,4773,1
1,2,31,47.3,0.21,4.23,15.48,35.71,0.0,0.0,0.0,38.5,56.5,11.8,3579,2
2,3,34,47.0,0.18,5.17,30.77,49.23,0.0,0.0,0.0,35.83,50.8,6.6,3357,3
3,4,23,48.9,,1.11,0.0,0.0,0.0,0.0,0.0,38.69,52.26,38.4,3207,4
4,5,32,47.0,0.15,5.83,42.74,55.56,5.65,37.84,51.35,36.19,52.38,3.1,4208,5
