,枠番,年齢,体重,平均ST,全国-勝率,全国-2連率,全国-3連率,当地-勝率,当地-2連率,当地-3連率,モーター-2連率,モーター-3連率,単勝オッズ,レーサーid,着順
1,2,55,52.1,0.14,6.83,51.28,67.52,7.07,53.33,75.56,37.5,37.5,5.5,4030,2
2,3,47,52.0,0.14,6.43,36.84,57.14,6.75,50.0,61.11,33.33,60.0,3.8,3257,3
3,4,49,52.2,0.14,6.62,35.71,64.29,7.47,41.18,58.82,26.67,33.33,5.8,3780,1
4,5,48,52.3,0.15,6.59,52.34,69.53,0.0,0.0,0.0,50.0,62.5,14.6,3959,4
5,6,49,52.0,0.13,6.58,42.11,59.65,0.0,0.0,0.0,57.14,57.14,15.8,3679,5
0,1,44,52.0,0.15,6.62,45.76,64.41,8.5,70.0,90.0,38.13,58.75,2.3,3959,1
1,2,37,52.1,0.14,7.16,53.85,69.23,7.32,60.0,80.0,30.57,43.31,5.1,4308,4
2,3,28,52.0,0.15,6.88,52.46,72.13,7.7,62.96,77.78,37.42,51.53,3.9,4908,5
3,4,38,53.3,0.15,6.27,44.54,63.87,6.22,44.44,44.44,30.0,50.67,4.6,4736,3
4,5,33,52.1,0.12,6.63,46.46,65.66,8.29,64.71,94.12,41.55,60.56,5.7,4063,6
5,6,49,52.0,0.13,5.89,33.7,45.65,6.78,33.33,66.67,32.05,52.56,13.8,4980,2
0,1,36,52.0,0.18,4.64,25.0,40.28,0.0,0.0,0.0,36.22,51.18,1.7,4154,1
1,2,22,52.1,0.16,5.27,30.36,48.21,4.03,13.11,32.79,29.27,49.59,3.2,4969,3
2,3,55,51.5,0.17,5.33,36.17,51.06,6.22,38.89,66.67,31.67,45.0,5.6,4633,4
3,4,48,52.1,0.17,4.51,19.54,42.53,4.84,26.32,57.89,33.83,49.62,7.7,4383,2
4,5,21,52.0,0.15,3.0,6.94,22.22,2.96,7.25,20.29,29.69,49.22,11.2,3870,6
5,6,57,58.3,0.18,5.54,36.46,52.08,7.7,80.0,80.0,33.57,50.71,14.4,4394,5
0,1,25,45.5,0.16,2.63,7.14,16.33,1.86,1.28,8.97,38.6,63.16,1.6,3509,1
1,2,54,48.5,0.22,3.89,11.27,25.35,4.33,33.33,50.0,45.0,62.5,6.1,5277,3
2,3,34,49.1,0.18,4.4,16.92,43.08,4.22,11.11,33.33,42.5,62.5,6.5,4484,2
3,4,22,53.3,0.23,1.69,1.72,3.45,1.22,0.0,0.0,32.56,51.16,21.3,5310,5
4,5,27,46.0,0.2,3.98,16.67,33.33,4.0,18.75,31.25,34.04,51.06,5.1,4275,4
5,6,53,49.0,0.14,2.7,2.7,16.22,4.61,28.17,40.85,38.0,48.0,5.7,3704,6
0,1,41,48.2,0.19,3.92,11.29,29.03,4.78,23.46,41.98,30.43,47.83,2.2,3357,1
1,2,19,45.0,0.16,3.66,20.0,32.22,3.0,14.81,25.93,47.83,60.87,3.2,5123,3
2,3,28,48.8,0.15,5.13,35.09,51.75,5.7,37.31,53.73,20.83,35.42,2.9,4283,2
3,4,27,47.2,0.2,3.48,9.62,32.69,1.75,0.0,0.0,11.36,18.18,9.6,3704,5
4,5,34,47.0,0.19,5.62,36.49,60.81,5.11,27.78,44.44,29.17,50.0,9.1,3802,4
5,6,22,46.0,,2.19,4.17,4.17,1.83,5.56,5.56,36.0,56.0,22.9,5310,6
0,1,47,52.0,0.14,6.51,37.9,58.87,6.0,37.5,58.75,37.04,55.56,1.7,4762,1
1,2,29,47.0,0.15,6.1,44.78,55.22,4.24,17.65,17.65,42.86,66.67,3.2,4932,6
2,3,27,52.0,0.15,7.31,59.32,73.73,7.11,50.0,71.43,36.9,53.57,5.2,4013,3
3,4,43,47.0,0.14,7.11,56.25,69.64,7.25,58.44,71.43,32.58,50.56,8.0,4227,4
4,5,49,52.1,0.13,6.77,44.76,61.9,6.56,22.22,33.33,39.24,51.9,7.3,4468,2
5,6,31,52.8,0.15,6.59,49.62,68.42,6.8,46.67,73.33,21.92,35.62,177.0,4980,5
0,1,46,52.0,0.17,5.32,32.5,50.83,3.97,13.79,34.48,43.04,54.43,1.8,4886,1
1,2,38,52.0,0.18,5.3,35.37,51.22,5.06,29.41,50.0,30.19,46.54,6.2,5015,4
2,3,29,52.4,0.15,4.75,25.88,44.71,3.76,12.12,30.3,26.51,43.37,4.9,4778,5
3,4,36,54.0,0.16,5.31,34.69,48.98,5.11,28.57,50.0,38.61,56.96,8.3,4494,3
4,5,34,52.0,0.14,5.84,37.29,61.02,5.7,35.0,60.0,28.92,46.99,12.4,4964,2
5,6,42,52.0,0.12,6.92,51.04,66.67,5.56,29.63,51.85,39.33,54.67,4.1,4528,6
0,1,43,46.0,0.19,6.47,46.08,68.63,7.0,60.0,80.0,31.51,43.84,1.0,4611,1
1,2,21,46.5,0.17,3.63,9.47,32.63,2.6,6.67,13.33,36.99,52.74,14.3,4964,2
2,3,24,44.5,0.19,4.52,20.29,47.83,0.0,0.0,0.0,27.89,44.22,19.9,5203,3
3,4,32,47.0,0.15,6.23,48.36,60.66,4.65,35.0,35.0,27.61,50.75,7.8,5194,6
4,5,42,47.0,0.19,6.92,55.94,72.73,5.7,30.0,60.0,36.97,51.52,7.5,4045,5
5,6,22,44.5,0.16,3.93,15.63,33.33,0.0,0.0,0.0,27.59,53.1,42.9,4347,4
0,1,45,47.0,0.19,5.6,36.73,54.08,5.62,42.55,56.38,41.35,54.81,1.0,3999,3
1,2,36,45.5,,3.86,22.73,31.82,3.17,5.56,16.67,29.27,47.56,29.0,4479,5
2,3,26,47.1,0.16,3.68,20.0,28.0,3.18,11.76,17.65,35.63,55.17,10.4,4534,1
3,4,36,46.5,0.2,5.74,40.66,63.74,4.75,30.0,40.0,32.1,48.15,5.5,3871,4
4,5,51,47.3,0.17,4.83,29.58,46.48,0.0,0.0,0.0,31.87,46.15,17.4,5079,2
5,6,23,50.3,0.18,1.15,0.0,0.0,0.0,0.0,0.0,49.5,72.28,65.4,5358,6
0,1,33,46.5,0.15,6.28,44.0,66.0,6.0,42.11,57.89,28.08,45.89,1.8,4738,1
1,2,50,45.5,0.16,6.48,48.57,60.95,5.64,33.33,53.85,28.29,42.76,5.6,3232,6
2,3,31,47.9,0.17,5.77,37.96,58.39,6.41,45.45,63.64,31.76,47.3,7.3,3618,2
3,4,28,47.0,0.15,6.53,48.57,64.76,6.27,40.91,63.64,31.97,46.94,3.6,4773,5
4,5,43,47.0,0.16,7.34,62.14,71.84,6.44,44.44,55.56,27.97,44.76,7.1,4286,3
5,6,52,47.8,0.14,5.86,41.58,57.43,6.2,50.0,60.0,27.74,53.28,18.6,3435,4
0,1,36,52.0,0.13,6.89,51.28,60.68,7.17,52.38,69.05,44.74,64.47,1.1,4848,3
1,2,25,52.0,0.13,6.46,48.33,66.67,3.0,25.0,25.0,32.84,44.78,11.8,4886,1
2,3,24,52.0,0.11,6.44,44.68,65.96,5.14,19.05,42.86,33.78,47.3,11.8,4030,4
3,4,37,51.5,0.12,6.19,39.81,54.63,7.09,53.7,71.3,26.03,42.47,6.5,5121,5
4,5,30,52.5,0.15,7.64,66.67,80.0,7.0,54.55,72.73,35.94,46.88,7.7,4371,2
5,6,29,52.0,0.14,6.19,41.13,60.48,6.78,44.44,66.67,44.87,64.1,27.6,4980,6
0,1,36,46.5,0.19,6.28,45.16,65.59,7.18,72.73,81.82,36.51,52.38,1.1,4183,2
1,2,37,50.8,,2.95,8.11,18.92,1.6,0.0,0.0,37.21,56.98,12.8,4764,1
2,3,22,45.5,0.22,4.37,20.93,36.05,3.04,13.46,17.31,22.92,41.67,4.3,5203,3
3,4,53,47.7,0.22,4.05,22.08,31.17,0.0,0.0,0.0,31.46,51.69,22.6,5297,6
4,5,35,47.7,0.18,5.47,40.0,50.67,0.0,0.0,0.0,36.84,50.88,8.4,3580,4
5,6,22,46.5,0.2,3.34,15.0,23.75,1.69,0.0,3.85,34.67,54.67,58.9,3704,5
0,1,35,46.0,0.16,5.95,39.47,52.63,6.39,36.73,73.47,29.01,46.56,1.4,3188,2
1,2,26,47.0,0.17,5.95,41.67,66.67,6.52,48.28,68.97,38.85,50.36,7.7,4478,1
2,3,40,48.6,0.17,6.06,44.53,62.5,5.68,42.86,50.0,38.46,54.62,4.4,4289,3
3,4,44,45.5,0.17,5.57,39.83,50.0,6.0,50.0,50.0,43.62,60.64,6.0,3999,5
4,5,36,45.5,0.15,5.33,39.81,55.34,4.95,28.57,52.38,37.96,53.7,21.3,3579,6
5,6,28,45.5,0.17,5.93,43.18,59.09,5.17,41.38,44.83,30.85,41.49,16.4,4190,4
0,1,36,52.0,0.17,5.65,35.19,51.85,6.2,40.0,40.0,31.01,48.84,1.1,4983,1
1,2,23,52.0,0.15,4.74,29.41,39.71,4.6,40.0,40.0,38.57,62.14,7.4,4835,4
2,3,47,52.0,0.17,4.36,20.51,38.46,5.21,35.29,50.0,35.11,58.51,11.1,4641,6
3,4,48,53.6,0.17,4.85,28.45,44.83,5.51,35.09,57.89,38.79,50.91,7.8,4631,2
4,5,30,53.9,0.17,4.27,16.67,36.36,4.66,17.86,35.71,31.51,43.84,15.6,4925,5
5,6,49,52.3,0.16,5.46,35.9,53.85,4.85,24.24,39.39,36.25,60.0,14.1,4241,3
0,1,35,44.5,0.14,6.78,44.88,65.35,7.65,42.31,65.38,30.2,44.97,1.4,3854,1
1,2,42,48.5,0.14,6.54,40.21,57.73,7.72,66.67,83.33,35.66,54.55,6.7,4482,6
2,3,31,47.0,0.13,7.05,53.66,69.92,7.05,54.55,81.82,28.29,44.74,6.2,3716,5
3,4,29,52.0,0.15,6.9,53.33,70.83,7.13,53.33,64.44,41.96,57.34,6.7,4504,2
4,5,25,52.0,0.12,6.74,45.74,67.44,7.72,65.52,82.76,37.5,48.61,12.7,4459,3
5,6,33,52.5,0.12,7.3,44.66,59.22,7.64,50.0,68.18,32.65,48.98,9.4,4502,4
0,1,43,52.0,0.15,6.84,51.33,62.83,0.0,0.0,0.0,34.78,47.83,1.0,4907,6
1,2,46,52.5,0.15,6.17,40.5,56.2,6.29,35.59,57.63,21.74,34.78,14.5,4685,1
2,3,39,52.0,0.14,7.07,46.34,65.85,6.79,33.33,54.55,42.31,65.38,10.1,4932,3
3,4,48,52.0,0.15,6.36,44.78,60.45,7.33,66.67,66.67,35.71,53.57,31.4,3959,2
4,5,42,52.0,0.12,7.04,51.3,68.7,7.79,58.82,73.53,36.0,48.0,22.1,4266,5
5,6,48,52.1,0.1,6.64,38.46,60.68,7.91,65.81,73.5,35.29,47.06,34.8,4445,4
0,1,25,52.0,0.13,6.56,48.25,68.53,5.6,45.0,65.0,29.71,50.29,1.3,4960,1
1,2,30,54.4,0.15,5.78,43.24,52.25,6.0,44.44,44.44,34.44,48.34,10.6,4989,4
2,3,28,52.0,0.16,5.85,40.34,63.03,4.38,25.0,50.0,35.29,52.35,6.0,5016,6
3,4,23,52.0,0.14,7.25,49.12,70.18,0.0,0.0,0.0,34.3,48.84,5.6,4932,3
4,5,27,52.0,0.16,7.29,54.03,75.81,5.64,27.27,63.64,30.59,48.82,11.1,5017,2
5,6,24,52.0,0.17,6.51,49.62,67.67,6.9,50.0,70.0,35.36,55.25,25.5,5136,5
0,1,40,51.5,0.12,7.58,49.48,69.07,6.56,33.33,55.56,31.91,46.81,1.1,4238,1
1,2,26,52.0,0.14,7.88,67.27,78.18,7.44,55.56,88.89,39.33,58.0,9.3,4760,2
2,3,39,52.3,0.15,7.11,53.85,69.23,6.8,45.0,75.0,29.93,50.36,10.6,4831,4
3,4,46,52.6,0.15,7.29,48.45,63.92,7.71,62.5,70.83,45.29,57.65,10.0,3946,5
4,5,47,52.3,0.13,7.45,59.13,74.78,7.09,50.41,72.73,33.07,42.52,10.5,4933,3
5,6,35,52.0,0.14,7.41,52.07,67.77,8.29,76.47,82.35,26.47,47.06,27.8,4418,6
0,1,38,52.0,0.14,7.69,51.06,73.4,8.15,67.27,82.73,36.36,54.55,1.2,3415,2
1,2,29,51.5,0.15,7.37,52.03,67.48,6.04,33.33,59.26,35.71,64.29,9.7,3960,1
2,3,46,52.9,0.1,6.97,42.2,60.55,6.63,33.33,48.15,28.57,51.43,3.2,3721,6
3,4,33,52.0,0.12,6.83,52.76,70.87,6.31,43.75,62.5,28.57,45.24,23.9,4050,3
4,5,36,52.0,0.13,7.27,52.38,64.29,8.18,69.7,75.76,23.53,47.06,16.6,4344,4
5,6,50,52.8,0.13,6.84,38.24,58.82,5.93,26.67,40.0,50.0,70.0,24.7,3783,5
0,1,47,52.0,0.14,6.56,41.09,65.89,6.59,54.35,60.87,39.87,56.21,1.1,3874,1
1,2,31,51.5,0.13,7.05,57.14,77.31,6.57,51.32,63.16,27.27,41.26,13.2,4084,4
2,3,38,51.5,0.15,6.54,49.22,69.53,6.55,44.93,69.57,37.42,56.13,4.7,4598,2
3,4,38,53.3,0.15,7.47,54.95,70.33,0.0,0.0,0.0,28.38,44.59,12.3,4420,5
4,5,31,52.3,0.14,6.63,46.09,66.09,6.07,40.74,48.15,33.33,52.67,16.4,4872,3
5,6,39,53.1,0.16,5.68,41.23,57.02,6.56,47.46,59.32,38.75,53.75,20.2,4575,6
0,1,58,52.2,0.15,6.94,52.81,67.42,6.38,46.15,69.23,35.94,51.56,1.1,4468,1
1,2,38,55.4,0.14,5.93,37.78,56.67,6.36,45.45,69.7,37.23,56.93,6.0,3256,3
2,3,29,52.1,0.14,6.52,45.98,62.07,6.82,50.0,69.74,30.53,46.56,5.6,4188,2
3,4,56,52.0,0.17,6.11,40.16,63.11,5.66,36.71,55.7,31.16,47.1,14.1,4769,6
4,5,40,52.2,0.12,5.87,34.52,52.38,7.48,61.9,80.95,33.57,49.29,24.9,4546,4
5,6,31,52.3,0.14,6.63,41.41,63.64,6.08,45.95,56.76,36.64,54.2,23.1,4036,5
0,1,37,51.5,0.13,6.74,43.75,62.5,7.38,56.18,76.4,42.86,42.86,1.4,4518,1
1,2,53,52.0,0.14,5.54,31.03,55.17,5.75,34.48,59.48,85.71,85.71,7.5,4572,5
2,3,33,52.3,0.17,5.8,36.23,60.87,4.36,21.43,39.29,0.0,0.0,4.5,4863,4
3,4,30,52.0,0.13,4.06,23.17,30.49,2.89,8.33,22.22,57.14,57.14,8.6,3505,3
4,5,34,52.0,0.13,7.07,48.7,66.09,7.31,56.25,62.5,40.0,60.0,10.2,3158,2
5,6,44,54.3,0.14,4.56,25.4,44.44,5.54,48.0,48.0,28.57,71.43,12.5,4691,6
0,1,57,47.0,0.14,5.68,38.64,54.55,5.66,37.5,53.13,34.98,54.19,1.7,4843,1
1,2,32,47.0,0.15,5.83,42.74,55.56,5.65,37.84,51.35,36.19,52.38,5.0,4569,4
2,3,41,47.1,0.15,7.17,51.52,76.77,6.71,42.86,78.57,44.59,55.86,3.3,4400,3
